EXIF ExposureTime,EXIF FNumber,EXIF ExposureProgram,EXIF ISOSpeedRatings,EXIF ExifVersion,EXIF DateTimeOriginal,EXIF DateTimeDigitized,EXIF ComponentsConfiguration,EXIF ShutterSpeedValue,EXIF ApertureValue
1/30,2,Program Normal,125,0220,2018:11:17 12:01:48,2018:11:17 12:01:48,YCbCr,49/10,2
1/30,2,Program Normal,64,0220,2018:11:17 12:01:53,2018:11:17 12:01:53,YCbCr,49/10,2
1/30,2,Program Normal,80,0220,2018:11:17 12:01:59,2018:11:17 12:01:59,YCbCr,49/10,2
1/30,2,Program Normal,125,0220,2018:11:17 12:02:07,2018:11:17 12:02:07,YCbCr,49/10,2
1/60,2,Program Normal,64,0220,2018:11:17 12:02:12,2018:11:17 12:02:12,YCbCr,59/10,2
1/30,2,Program Normal,125,0220,2018:11:17 12:02:43,2018:11:17 12:02:43,YCbCr,49/10,2
1/30,2,Program Normal,160,0220,2018:11:17 12:02:48,2018:11:17 12:02:48,YCbCr,49/10,2
1/30,2,Program Normal,500,0220,2018:11:17 12:02:51,2018:11:17 12:02:51,YCbCr,49/10,2
1/17,2,Program Normal,500,0220,2018:11:17 12:02:51,2018:11:17 12:02:51,YCbCr,409/100,2
1/20,2,Program Normal,500,0220,2018:11:17 12:03:03,2018:11:17 12:03:03,YCbCr,108/25,2
1/30,2,Program Normal,320,0220,2018:11:17 12:03:05,2018:11:17 12:03:05,YCbCr,49/10,2
1/30,2,Program Normal,125,0220,2018:11:17 12:03:10,2018:11:17 12:03:10,YCbCr,49/10,2
1/30,2,Program Normal,100,0220,2018:11:17 12:03:14,2018:11:17 12:03:14,YCbCr,49/10,2
1/30,2,Program Normal,250,0220,2018:11:17 12:03:19,2018:11:17 12:03:19,YCbCr,49/10,2
1/30,2,Program Normal,250,0220,2018:11:17 12:03:27,2018:11:17 12:03:27,YCbCr,49/10,2
1/30,2,Program Normal,100,0220,2018:11:17 12:03:44,2018:11:17 12:03:44,YCbCr,49/10,2
1/30,2,Program Normal,320,0220,2018:11:17 12:03:49,2018:11:17 12:03:49,YCbCr,49/10,2
1/30,2,Program Normal,125,0220,2018:11:17 12:04:02,2018:11:17 12:04:02,YCbCr,49/10,2
1/30,2,Program Normal,100,0220,2018:11:17 12:04:16,2018:11:17 12:04:16,YCbCr,49/10,2
1/30,2,Program Normal,160,0220,2018:11:17 12:04:32,2018:11:17 12:04:32,YCbCr,49/10,2
1/30,2,Program Normal,200,0220,2018:11:17 12:04:44,2018:11:17 12:04:44,YCbCr,49/10,2
1/30,2,Program Normal,80,0220,2018:11:17 12:05:19,2018:11:17 12:05:19,YCbCr,49/10,2
