EXIF ExposureTime,EXIF FNumber,EXIF ExposureProgram,EXIF ISOSpeedRatings,EXIF ExifVersion,EXIF DateTimeOriginal,EXIF DateTimeDigitized,EXIF ComponentsConfiguration,EXIF ShutterSpeedValue,EXIF ApertureValue
14583333/250000000,2,Unidentified,389,0220,2018:11:17 12:03:56,2018:11:17 12:03:56,YCbCr,-409/100,2
4166667/125000000,2,Unidentified,127,0220,2018:11:17 12:04:02,2018:11:17 12:04:02,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,345,0220,2018:11:17 12:05:14,2018:11:17 12:05:14,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,264,0220,2018:11:17 12:05:17,2018:11:17 12:05:17,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,102,0220,2018:11:17 12:05:23,2018:11:17 12:05:23,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,122,0220,2018:11:17 12:05:27,2018:11:17 12:05:27,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,122,0220,2018:11:17 12:05:34,2018:11:17 12:05:34,YCbCr,-49/10,2
1/40,2,Unidentified,64,0220,2018:11:17 12:05:39,2018:11:17 12:05:39,YCbCr,-133/25,2
1/40,2,Unidentified,64,0220,2018:11:17 12:05:49,2018:11:17 12:05:49,YCbCr,-133/25,2
4166667/125000000,2,Unidentified,264,0220,2018:11:17 12:05:58,2018:11:17 12:05:58,YCbCr,-49/10,2
10416667/250000000,2,Unidentified,405,0220,2018:11:17 12:06:15,2018:11:17 12:06:15,YCbCr,-229/50,2
14583333/250000000,2,Unidentified,402,0220,2018:11:17 12:06:23,2018:11:17 12:06:23,YCbCr,-409/100,2
4166667/125000000,2,Unidentified,50,0220,2018:11:17 12:06:44,2018:11:17 12:06:44,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,222,0220,2018:11:17 12:06:50,2018:11:17 12:06:50,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,197,0220,2018:11:17 12:06:55,2018:11:17 12:06:55,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,142,0220,2018:11:17 12:06:58,2018:11:17 12:06:58,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,142,0220,2018:11:17 12:07:01,2018:11:17 12:07:01,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,111,0220,2018:11:17 12:07:08,2018:11:17 12:07:08,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,377,0220,2018:11:17 12:07:24,2018:11:17 12:07:24,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,105,0220,2018:11:17 12:07:31,2018:11:17 12:07:31,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,88,0220,2018:11:17 12:07:37,2018:11:17 12:07:37,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,127,0220,2018:11:17 12:07:40,2018:11:17 12:07:40,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,83,0220,2018:11:17 12:07:54,2018:11:17 12:07:54,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,102,0220,2018:11:17 12:07:59,2018:11:17 12:07:59,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,78,0220,2018:11:17 12:08:10,2018:11:17 12:08:10,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,67,0220,2018:11:17 12:08:20,2018:11:17 12:08:20,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,80,0220,2018:11:17 12:08:28,2018:11:17 12:08:28,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,102,0220,2018:11:17 12:08:33,2018:11:17 12:08:33,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,142,0220,2018:11:17 12:08:37,2018:11:17 12:08:37,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,155,0220,2018:11:17 12:08:43,2018:11:17 12:08:43,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,208,0220,2018:11:17 12:08:48,2018:11:17 12:08:48,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,389,0220,2018:11:17 12:08:55,2018:11:17 12:08:55,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,164,0220,2018:11:17 12:09:26,2018:11:17 12:09:26,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,97,0220,2018:11:17 12:09:32,2018:11:17 12:09:32,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,377,0220,2018:11:17 12:09:52,2018:11:17 12:09:52,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,316,0220,2018:11:17 12:09:58,2018:11:17 12:09:58,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,127,0220,2018:11:17 12:11:54,2018:11:17 12:11:54,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,297,0220,2018:11:17 12:12:00,2018:11:17 12:12:00,YCbCr,-49/10,2
4166667/62500000,2,Unidentified,458,0220,2018:11:17 12:12:04,2018:11:17 12:12:04,YCbCr,-39/10,2
4166667/125000000,2,Unidentified,159,0220,2018:11:17 12:12:10,2018:11:17 12:12:10,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,145,0220,2018:11:17 12:12:23,2018:11:17 12:12:23,YCbCr,-49/10,2
14583333/250000000,2,Unidentified,389,0220,2018:11:17 12:12:43,2018:11:17 12:12:43,YCbCr,-409/100,2
4166667/125000000,2,Unidentified,130,0220,2018:11:17 12:13:22,2018:11:17 12:13:22,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,264,0220,2018:11:17 12:13:27,2018:11:17 12:13:27,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,184,0220,2018:11:17 12:13:35,2018:11:17 12:13:35,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,59,0220,2018:11:17 12:13:40,2018:11:17 12:13:40,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,86,0220,2018:11:17 12:13:51,2018:11:17 12:13:51,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,88,0220,2018:11:17 12:14:00,2018:11:17 12:14:00,YCbCr,-49/10,2
1/40,2,Unidentified,64,0220,2018:11:17 12:14:04,2018:11:17 12:14:04,YCbCr,-133/25,2
4166667/125000000,2,Unidentified,55,0220,2018:11:17 12:14:08,2018:11:17 12:14:08,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,58,0220,2018:11:17 12:14:13,2018:11:17 12:14:13,YCbCr,-49/10,2
1/40,2,Unidentified,53,0220,2018:11:17 12:14:20,2018:11:17 12:14:20,YCbCr,-133/25,2
4166667/125000000,2,Unidentified,72,0220,2018:11:17 12:14:30,2018:11:17 12:14:30,YCbCr,-49/10,2
1/40,2,Unidentified,56,0220,2018:11:17 12:14:36,2018:11:17 12:14:36,YCbCr,-133/25,2
1/40,2,Unidentified,55,0220,2018:11:17 12:14:43,2018:11:17 12:14:43,YCbCr,-133/25,2
4166667/125000000,2,Unidentified,242,0220,2018:11:17 12:14:52,2018:11:17 12:14:52,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,208,0220,2018:11:17 12:15:07,2018:11:17 12:15:07,YCbCr,-49/10,2
1/40,2,Unidentified,61,0220,2018:11:17 12:15:12,2018:11:17 12:15:12,YCbCr,-133/25,2
4166667/125000000,2,Unidentified,111,0220,2018:11:17 12:15:29,2018:11:17 12:15:29,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,111,0220,2018:11:17 12:15:34,2018:11:17 12:15:34,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,108,0220,2018:11:17 12:15:40,2018:11:17 12:15:40,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,214,0220,2018:11:17 12:15:51,2018:11:17 12:15:51,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,130,0220,2018:11:17 12:16:11,2018:11:17 12:16:11,YCbCr,-49/10,2
10416667/250000000,2,Unidentified,394,0220,2018:11:17 12:16:26,2018:11:17 12:16:26,YCbCr,-229/50,2
4166667/62500000,2,Unidentified,1178,0220,2018:11:17 12:16:39,2018:11:17 12:16:39,YCbCr,-39/10,2
4166667/125000000,2,Unidentified,316,0220,2018:11:17 12:16:52,2018:11:17 12:16:52,YCbCr,-49/10,2
4166667/62500000,2,Unidentified,383,0220,2018:11:17 12:17:02,2018:11:17 12:17:02,YCbCr,-39/10,2
4166667/62500000,2,Unidentified,531,0220,2018:11:17 12:17:05,2018:11:17 12:17:05,YCbCr,-39/10,2
4166667/62500000,2,Unidentified,580,0220,2018:11:17 12:17:16,2018:11:17 12:17:16,YCbCr,-39/10,2
4166667/125000000,2,Unidentified,280,0220,2018:11:17 12:17:21,2018:11:17 12:17:21,YCbCr,-49/10,2
4166667/62500000,2,Unidentified,431,0220,2018:11:17 12:17:37,2018:11:17 12:17:37,YCbCr,-39/10,2
4166667/125000000,2,Unidentified,222,0220,2018:11:17 12:17:43,2018:11:17 12:17:43,YCbCr,-49/10,2
4166667/250000000,2,Unidentified,72,0220,2018:11:17 12:17:56,2018:11:17 12:17:56,YCbCr,-59/10,2
4166667/125000000,2,Unidentified,58,0220,2018:11:17 12:17:59,2018:11:17 12:17:59,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,58,0220,2018:11:17 12:18:03,2018:11:17 12:18:03,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,98,0220,2018:11:17 12:18:07,2018:11:17 12:18:07,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,130,0220,2018:11:17 12:18:11,2018:11:17 12:18:11,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,69,0220,2018:11:17 12:18:25,2018:11:17 12:18:25,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,169,0220,2018:11:17 12:18:31,2018:11:17 12:18:31,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,242,0220,2018:11:17 12:18:36,2018:11:17 12:18:36,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,102,0220,2018:11:17 12:18:41,2018:11:17 12:18:41,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,78,0220,2018:11:17 12:18:48,2018:11:17 12:18:48,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,56,0220,2018:11:17 12:19:19,2018:11:17 12:19:19,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,58,0220,2018:11:17 12:19:22,2018:11:17 12:19:22,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,61,0220,2018:11:17 12:19:28,2018:11:17 12:19:28,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,50,0220,2018:11:17 12:19:32,2018:11:17 12:19:32,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,73,0220,2018:11:17 12:19:34,2018:11:17 12:19:34,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,58,0220,2018:11:17 12:19:38,2018:11:17 12:19:38,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,159,0220,2018:11:17 12:19:49,2018:11:17 12:19:49,YCbCr,-49/10,2
1/40,2,Unidentified,63,0220,2018:11:17 12:19:55,2018:11:17 12:19:55,YCbCr,-133/25,2
4166667/125000000,2,Unidentified,98,0220,2018:11:17 12:20:03,2018:11:17 12:20:03,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,61,0220,2018:11:17 12:20:10,2018:11:17 12:20:10,YCbCr,-49/10,2
