EXIF ExposureTime,EXIF FNumber,EXIF ExposureProgram,EXIF ISOSpeedRatings,EXIF ExifVersion,EXIF DateTimeOriginal,EXIF DateTimeDigitized,EXIF ComponentsConfiguration,EXIF ShutterSpeedValue,EXIF ApertureValue
1/15,2,Unidentified,1494,0220,2018:11:30 17:24:50,2018:11:30 17:24:50,YCbCr,1953/500,2
1/15,2,Unidentified,1328,0220,2018:11:30 17:24:57,2018:11:30 17:24:57,YCbCr,1953/500,2
1/15,2,Unidentified,1634,0220,2018:11:30 17:25:03,2018:11:30 17:25:03,YCbCr,1953/500,2
1/15,2,Unidentified,714,0220,2018:11:30 17:25:16,2018:11:30 17:25:16,YCbCr,1953/500,2
1/15,2,Unidentified,1016,0220,2018:11:30 17:25:58,2018:11:30 17:25:58,YCbCr,1953/500,2
1/15,2,Program Normal,931,0220,2018:11:30 17:25:43,2018:11:30 17:25:43,YCbCr,391/100,2
1/15,2,Unidentified,2009,0220,2018:11:30 17:26:03,2018:11:30 17:26:03,YCbCr,1953/500,2
1/15,2,Unidentified,1838,0220,2018:11:30 17:26:09,2018:11:30 17:26:09,YCbCr,1953/500,2
1/15,2,Unidentified,2400,0220,2018:11:30 17:27:02,2018:11:30 17:27:02,YCbCr,1953/500,2
1/15,2,Unidentified,2400,0220,2018:11:30 17:27:37,2018:11:30 17:27:37,YCbCr,1953/500,2
1/15,2,Unidentified,988,0220,2018:11:30 17:27:48,2018:11:30 17:27:48,YCbCr,1953/500,2
1/15,2,Unidentified,2400,0220,2018:11:30 17:27:55,2018:11:30 17:27:55,YCbCr,1953/500,2
1/15,2,Unidentified,780,0220,2018:11:30 17:28:01,2018:11:30 17:28:01,YCbCr,1953/500,2
1/30,2,Unidentified,228,0220,2018:11:30 17:28:13,2018:11:30 17:28:13,YCbCr,2453/500,2
1/15,2,Unidentified,1450,0220,2018:11:30 17:28:35,2018:11:30 17:28:35,YCbCr,1953/500,2
1/15,2,Unidentified,1494,0220,2018:11:30 17:28:37,2018:11:30 17:28:37,YCbCr,1953/500,2
1/15,2,Unidentified,878,0220,2018:11:30 17:28:47,2018:11:30 17:28:47,YCbCr,1953/500,2
1/15,2,Unidentified,673,0220,2018:11:30 17:28:53,2018:11:30 17:28:53,YCbCr,1953/500,2
1/15,2,Unidentified,1047,0220,2018:11:30 17:29:17,2018:11:30 17:29:17,YCbCr,1953/500,2
1/15,2,Unidentified,1047,0220,2018:11:30 17:29:23,2018:11:30 17:29:23,YCbCr,1953/500,2
1/15,2,Unidentified,878,0220,2018:11:30 17:29:27,2018:11:30 17:29:27,YCbCr,1953/500,2
1/15,2,Unidentified,758,0220,2018:11:30 17:29:33,2018:11:30 17:29:33,YCbCr,1953/500,2
1/15,2,Unidentified,850,0220,2018:11:30 17:29:38,2018:11:30 17:29:38,YCbCr,1953/500,2
1/15,2,Unidentified,959,0220,2018:11:30 17:29:44,2018:11:30 17:29:44,YCbCr,1953/500,2
